시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
서초구,반포본동,226,4,14,14,11,10,19,8,8,15,29,26,18,15,12,9,9,2,3,-,-,-
서초구,반포1동,33690,821,1937,2306,1878,1600,2230,2317,2523,3644,3483,2909,1988,1566,1586,1137,853,552,238,96,21,5
서초구,반포2동,26446,944,1578,2226,1936,1429,1099,1069,1468,2458,2719,2740,1693,1264,1238,912,838,505,236,65,26,3
서초구,반포3동,23940,672,1102,1607,1681,1454,1167,1244,1329,1911,2411,2637,1835,1327,1204,835,718,465,239,78,20,4
서초구,반포4동,18407,512,887,991,1089,942,1045,1017,1254,1625,1613,1761,1335,1091,1153,815,615,358,195,82,24,3
서초구,방배본동,20080,325,781,1303,1320,1195,1203,1197,1034,1590,1868,2013,1519,1304,1131,794,643,450,286,95,24,5
서초구,방배1동,16443,328,560,607,660,909,1204,1393,1263,1366,1293,1403,1110,1057,1039,826,671,465,197,65,26,1
서초구,방배2동,17870,399,478,672,808,904,1322,1467,1212,1297,1332,1495,1344,1308,1339,918,774,492,207,86,11,5
서초구,방배3동,15668,411,599,755,905,840,891,884,929,1192,1301,1426,1174,1144,1162,832,589,355,189,65,23,2
서초구,방배4동,22697,422,753,1271,1320,1240,1494,1751,1447,1835,2080,2165,1632,1391,1223,889,798,560,308,96,20,2
서초구,양재1동,41170,1110,1375,2186,2008,1916,2630,3040,2888,3255,3277,3428,2999,2991,2927,2076,1532,857,438,187,45,5
서초구,양재2동,21042,429,492,653,700,956,2100,2399,1777,1736,1533,1775,1544,1500,1298,881,646,402,162,43,15,1
서초구,내곡동,16863,569,698,1063,593,613,903,1061,1177,1518,1341,1262,1165,1234,1275,916,744,405,228,76,20,2
강남구,소계,557345,12273,20887,32396,31131,28418,37886,42889,38402,49268,51624,50016,37899,32965,31274,23259,18050,10828,5271,1970,556,83
강남구,신사동,15268,328,490,672,772,838,1012,1056,942,1148,1261,1475,1151,930,866,733,693,497,268,104,30,2
강남구,논현1동,20780,245,256,366,466,1017,2618,3003,2173,1991,1596,1527,1278,1098,1029,777,616,420,200,82,17,5
강남구,논현2동,20196,360,444,551,634,1018,1950,2237,1835,1922,1697,1739,1311,1199,997,798,721,486,192,82,17,6
강남구,압구정동,25556,667,1083,1350,1312,1299,1397,1361,1443,2013,2183,2349,1918,1668,1529,1308,1210,825,441,157,37,6
강남구,청담동,24000,592,950,1084,1041,1355,1623,1799,1747,2192,2097,2077,1827,1563,1408,982,798,521,230,93,14,7
강남구,삼성1동,11933,263,368,473,610,628,818,914,795,895,979,1057,919,871,770,605,471,296,145,45,11,-
강남구,삼성2동,30509,698,1139,1777,1754,1629,2127,2401,2313,2837,3149,3042,2093,1419,1227,1009,898,637,251,82,23,4
강남구,대치1동,23938,294,1234,2833,2597,1310,869,578,705,2131,3251,2670,1489,1107,1016,786,559,288,151,52,17,1
강남구,대치2동,38311,620,1625,3541,3380,2024,1658,1629,1677,3212,4368,4006,2541,2239,2123,1631,1129,548,231,101,23,5
강남구,대치4동,18272,181,339,812,1294,1302,1564,1740,1319,1480,1771,2027,1314,899,729,503,481,337,134,40,5,1
강남구,역삼1동,34216,422,370,516,724,1676,4856,5817,3906,3492,2560,2448,1866,1625,1410,909,774,514,234,73,22,2
강남구,역삼2동,36216,535,1448,3051,2784,1925,2394,2389,2060,3700,4423,4055,2140,1345,1187,1002,906,542,240,75,15,-
강남구,도곡1동,20583,465,904,1299,1141,1069,1297,1404,1367,1857,1833,1833,1464,1308,1257,830,644,340,194,59,18,-
강남구,도곡2동,32252,687,1645,2410,2229,1785,1604,1419,1595,2787,3195,3153,2365,1926,1719,1395,1138,672,357,129,39,3
강남구,개포1동,26341,826,1571,2031,1393,1189,1215,1457,1634,2418,2623,2243,1826,1728,1619,1182,762,380,158,58,23,5
강남구,개포2동,42395,1575,2059,2716,2541,2255,2220,3142,3151,3787,3838,3788,3000,2521,2285,1605,1073,509,204,81,41,4
강남구,개포3동,16700,384,594,819,808,713,870,1281,1152,1419,1450,1327,1059,1069,1258,1056,754,403,187,73,18,6
강남구,개포4동,23123,672,793,985,1099,1127,1670,1828,1777,1889,1835,2017,1879,1722,1505,978,689,378,189,64,25,2
강남구,세곡동,46260,1421,1949,2763,2259,2145,3293,4063,3598,4158,3732,3397,2917,2784,2706,1852,1434,914,574,232,59,10
